"Saturday, 8 May 2021", Event                        , Scores
 8:30 am               , Division 4 Doubles          , Knockout
10:00 am               , Division 4 Singles          , Groups Knockout
12:00 pm               , Junior & Division 5 Doubles , Knockout
 1:30 pm               , Division 5 Singles          , Knockout
 3:30 pm               , Junior Singles              , Groups Knockout
 6:00 pm               , Presentation Ceremony       ,

"Sunday, 9 May 2021", Event                    , Scores
 8:30 am             , Division 1 Doubles      , Knockout
10:00 am             , Division 1 Singles      , Groups Knockout
12:00 pm             , Division 2 & 3 Doubles  , Groups Knockout
 1:30 pm             , Division 2 Singles      , Knockout
 4:00 pm             , Division 3 Singles      , Groups Knockout
 6:00 pm             , Presentation Ceremony   ,
